customer_lifetime_value,monthly_premium_auto,total_claim_amount,number_of_open_complaints,income,policy_type,vehicle_class,gender,education,state,zones
6966,88,142,0,41837,Personal Auto,Four-Door Car,---,Bachelor,Oregon,northwest
7694,65,45,0,32303,Personal Auto,Four-Door Car,---,Bachelor,California,west
8717,117,561,1,0,Personal Auto,SUV,---,High School or Below,Oregon,northwest
5928,74,30,0,40531,Personal Auto,Two-Door Car,---,Bachelor,California,west
2452,62,271,1,79898,Corporate Auto,Four-Door Car,---,College,Oregon,northwest
6701,85,408,0,56398,Personal Auto,Four-Door Car,---,College,California,west
4996,63,46,0,71600,Personal Auto,Two-Door Car,male,High School or Below,Washington,east
8492,109,784,0,27804,Personal Auto,SUV,---,College,AZ,central
7713,66,316,2,45506,Personal Auto,Four-Door Car,---,Bachelor,Oregon,northwest
5185,6464,48,1,99428,Personal Auto,Four-Door Car,female,Master,Washington,east
7290,102,489,1,0,Corporate Auto,SUV,---,High School or Below,California,west
4772,133,638,0,20993,Personal Auto,SUV,---,High School or Below,Oregon,northwest
6806,86,465,0,37839,Personal Auto,Two-Door Car,---,High School or Below,AZ,central
2469,62,368,0,92711,Personal Auto,Two-Door Car,---,Bachelor,California,west
3103,78,236,2,74665,Corporate Auto,Four-Door Car,---,College,California,west
10484,89,49,0,61108,Personal Auto,Four-Door Car,female,College,Washington,east
8902,112,64,0,46833,Personal Auto,Sports Car,---,Bachelor,California,west
5499,68,326,0,88768,Personal Auto,Two-Door Car,---,High School or Below,Oregon,northwest
15023,192,921,0,28262,Personal Auto,Luxury SUV,---,High School or Below,California,west
2509,63,101,0,33555,Personal Auto,Four-Door Car,---,Bachelor,Nevada,central
31221,113,542,1,42780,Personal Auto,Four-Door Car,---,College,Oregon,northwest
3133,78,143,0,58850,Personal Auto,Four-Door Car,---,Master,Oregon,northwest
3837,97,424,0,21880,Special Auto,Four-Door Car,---,College,AZ,central
11790,66,316,0,25251,Personal Auto,Four-Door Car,---,College,Oregon,northwest
2829,71,50,0,25317,Personal Auto,Two-Door Car,female,High School or Below,Washington,east
4305,109,523,0,24188,Personal Auto,Sports Car,---,High School or Below,AZ,central
5973,74,113,0,41611,Special Auto,Four-Door Car,---,Bachelor,Nevada,central
5670,72,192,1,28406,Personal Auto,Four-Door Car,---,Bachelor,Oregon,northwest
4731,118,828,0,69833,Personal Auto,Four-Door Car,---,College,AZ,central
8026,74,532,0,0,Corporate Auto,Four-Door Car,---,High School or Below,AZ,central
4022,117,975,0,0,Personal Auto,SUV,---,High School or Below,AZ,central
9618,119,53,0,80536,Special Auto,Sports Car,---,High School or Below,Oregon,northwest
7255,89,50,0,88891,Personal Auto,Four-Door Car,female,Bachelors,Washington,east
9552,79,289,0,97732,Personal Auto,Four-Door Car,---,College,Oregon,northwest
10388,89,392,0,61222,Special Auto,Four-Door Car,female,Bachelor,AZ,central
2470,74,721,0,0,Personal Auto,Two-Door Car,male,College,Oregon,northwest
5619,140,456,0,50335,Personal Auto,SUV,male,Master,AZ,central
9047,127,1087,0,0,Personal Auto,Sports Car,female,High School or Below,California,west
2687,68,51,4,82210,Personal Auto,Four-Door Car,female,Doctor,Washington,east
3731,96,460,0,0,Personal Auto,Four-Door Car,female,High School or Below,Oregon,northwest
3660,92,251,0,64495,Corporate Auto,Four-Door Car,male,Bachelor,Nevada,central
7928,72,345,0,0,Corporate Auto,Four-Door Car,female,College,California,west
5011,67,321,3,28859,Corporate Auto,Two-Door Car,female,Bachelor,Arizona,central
7988,99,99,0,77330,Personal Auto,Four-Door Car,female,High School or Below,Arizona,central
3885,105,504,0,0,Corporate Auto,Four-Door Car,male,College,Oregon,northwest
9357,117,56,0,33060,Personal Auto,Four-Door Car,female,High School or Below,Washington,east
2540,65,57,0,42557,Personal Auto,Four-Door Car,male,Master,Washington,east
4885,126,604,0,26372,Personal Auto,SUV,male,High School or Below,Arizona,central
9753,127,8,0,17514,Personal Auto,SUV,female,Bachelor,Arizona,central
2946,74,316,0,89270,Personal Auto,Four-Door Car,female,Bachelor,California,west
2581,65,312,0,29757,Personal Auto,Four-Door Car,male,High School or Below,California,west
3517,92,56,0,51814,Personal Auto,Four-Door Car,male,College,Oregon,northwest
9743,82,393,0,24028,Personal Auto,Four-Door Car,female,Bachelor,Oregon,northwest
3873,105,701,0,28142,Personal Auto,Sports Car,male,College,Arizona,central
7649,64,128,1,52705,Personal Auto,Two-Door Car,female,Bachelor,Arizona,central
2287,63,679,0,0,Corporate Auto,Two-Door Car,male,High School or Below,California,west
8255,103,59,0,54040,Personal Auto,SUV,female,High School or Below,Washington,east
8714,118,566,0,0,Personal Auto,SUV,female,College,California,west
6819,85,61,0,22492,Personal Auto,Two-Door Car,female,Doctor,Washington,east
7416,77,554,2,0,Personal Auto,Four-Door Car,male,Bachelor,California,west
7771,68,465,0,21876,Personal Auto,Four-Door Car,male,Master,Oregon,northwest
6968,69,496,1,0,Personal Auto,Four-Door Car,female,Bachelor,California,west
4250,61,292,1,0,Personal Auto,Four-Door Car,female,High School or Below,California,west
19776,82,256,0,70699,Personal Auto,Four-Door Car,female,High School or Below,Oregon,northwest
21343,74,355,1,0,Personal Auto,Four-Door Car,female,High School or Below,California,west
2413,63,542,0,27501,Personal Auto,Four-Door Car,male,College,California,west
15363,101,303,0,15897,Personal Auto,Four-Door Car,female,Doctor,Oregon,northwest
8456,73,25,1,25141,Personal Auto,Four-Door Car,female,College,Nevada,central
2189,61,292,3,0,Personal Auto,Four-Door Car,female,College,Nevada,central
5780,74,787,0,51066,Personal Auto,Four-Door Car,male,High School or Below,California,west
4639,117,84,0,28358,Personal Auto,Sports Car,female,Bachelor,California,west
3824,95,61,0,62530,Personal Auto,Four-Door Car,female,Doctor,Washington,east
5968,74,232,0,90972,Personal Auto,Two-Door Car,female,Bachelor,Arizona,central
8590,72,68,0,63110,Personal Auto,Four-Door Car,female,Bachelor,Washington,east
4076,104,710,0,29549,Personal Auto,Sports Car,female,Bachelor,California,west
12252,115,552,1,0,Personal Auto,Four-Door Car,female,Bachelor,California,west
16936,217,1122,2,39411,Personal Auto,Luxury Car,female,Bachelor,Nevada,central
4892,62,408,0,21709,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
9942,85,408,0,67890,Personal Auto,Four-Door Car,male,Bachelor,Nevada,central
3735,110,792,0,0,Personal Auto,SUV,male,Bachelor,California,west
13117,111,532,4,84311,Personal Auto,SUV,female,High School or Below,California,west
4574,114,754,0,99316,Corporate Auto,SUV,female,College,California,west
5470,138,702,0,54507,Personal Auto,SUV,female,Bachelor,Arizona,central
2978,76,206,0,64586,Personal Auto,Four-Door Car,female,Bachelor,California,west
6410,82,275,2,61709,Personal Auto,Four-Door Car,male,College,Oregon,northwest
4479,111,459,1,94656,Special Auto,SUV,male,Master,California,west
2383,69,496,0,0,Special Auto,Two-Door Car,female,High School or Below,California,west
2764,70,336,1,61085,Personal Auto,Two-Door Car,male,Bachelor,California,west
7920,67,321,3,89284,Personal Auto,Two-Door Car,female,Bachelor,Oregon,northwest
6889,63,302,0,0,Personal Auto,Four-Door Car,female,High School or Below,Arizona,central
3274,81,430,0,31686,Personal Auto,Four-Door Car,female,Bachelor,WA,east
9951,255,1836,0,56855,Corporate Auto,Luxury SUV,male,High School or Below,Oregon,northwest
2521,67,67,2,53703,Special Auto,Four-Door Car,male,Bachelor,Oregon,northwest
23706,96,844,1,0,Personal Auto,Two-Door Car,female,High School or Below,WA,east
6047,76,364,1,20396,Personal Auto,Four-Door Car,male,College,California,west
11140,150,722,0,27679,Personal Auto,SUV,female,Master,California,west
4334,123,590,3,23904,Personal Auto,SUV,female,Bachelor,Nevada,central
2799,69,481,0,65351,Corporate Auto,Four-Door Car,female,High School or Below,Arizona,central
7923,113,1124,0,0,Personal Auto,SUV,male,College,California,west
3688,63,669,3,0,Personal Auto,Four-Door Car,male,High School or Below,California,west
12067,116,1284,0,0,Personal Auto,SUV,male,College,California,west
2924,72,240,0,64459,Personal Auto,Four-Door Car,female,College,California,west
15014,190,912,0,32961,Corporate Auto,SUV,male,College,California,west
9277,116,556,0,71416,Corporate Auto,SUV,female,High School or Below,Oregon,northwest
6274,78,115,0,68964,Personal Auto,Four-Door Car,female,Bachelor,WA,east
3886,98,470,0,78108,Personal Auto,Two-Door Car,male,High School or Below,Cali,west
4386,67,321,0,10621,Special Auto,Four-Door Car,male,College,Cali,west
11365,95,383,0,84910,Corporate Auto,Two-Door Car,male,College,WA,east
5610,70,307,0,77493,Special Auto,Four-Door Car,female,High School or Below,Cali,west
2912,74,355,0,81097,Personal Auto,Four-Door Car,male,College,Arizona,central
6915,85,520,0,96610,Corporate Auto,Four-Door Car,female,College,Oregon,northwest
6262,159,466,0,30110,Corporate Auto,Sports Car,male,College,Oregon,northwest
6503,84,451,0,22081,Special Auto,Two-Door Car,female,High School or Below,Oregon,northwest
8007,112,537,0,0,Personal Auto,Sports Car,female,High School or Below,WA,east
2929,72,345,0,98473,Personal Auto,Four-Door Car,male,College,Cali,west
5969,74,355,0,97431,Personal Auto,Four-Door Car,female,Bachelor,Oregon,northwest
5473,69,331,0,93870,Personal Auto,Four-Door Car,male,Bachelor,Cali,west
5645,72,428,0,50366,Personal Auto,Four-Door Car,male,High School or Below,Nevada,central
6369,83,398,0,34498,Personal Auto,Two-Door Car,male,High School or Below,WA,east
11833,103,494,0,16552,Personal Auto,SUV,female,College,Oregon,northwest
6121,77,369,0,26787,Personal Auto,Four-Door Car,female,College,Oregon,northwest
5159,74,831,0,0,Personal Auto,Two-Door Car,male,College,Nevada,central
2514,65,156,0,43860,Corporate Auto,Four-Door Car,female,High School or Below,Nevada,central
8668,114,373,2,21474,Corporate Auto,SUV,male,High School or Below,Arizona,central
4960,66,395,0,18174,Corporate Auto,Four-Door Car,male,Bachelor,Cali,west
5504,73,350,0,0,Corporate Auto,Four-Door Car,female,Bachelor,Arizona,central
7507,64,231,0,60920,Personal Auto,Two-Door Car,male,College,Arizona,central
32269,90,289,0,41520,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
5657,152,729,0,0,Personal Auto,SUV,female,Bachelor,Oregon,northwest
5061,68,326,0,0,Personal Auto,Two-Door Car,male,High School or Below,Arizona,central
5912,73,350,0,72208,Personal Auto,Two-Door Car,male,Bachelor,Cali,west
15182,63,105,0,53863,Personal Auto,Four-Door Car,female,Bachelor,Cali,west
10747,136,639,0,66446,Corporate Auto,SUV,male,College,WA,east
2050,61,292,0,0,Personal Auto,Four-Door Car,male,College,WA,east
2465,63,383,1,64997,Personal Auto,Four-Door Car,female,Bachelor,WA,east
5343,66,316,0,64460,Corporate Auto,Two-Door Car,female,High School or Below,Nevada,central
8119,67,99,0,46618,Personal Auto,Four-Door Car,female,College,Arizona,central
4605,64,307,0,0,Corporate Auto,Four-Door Car,female,College,Oregon,northwest
6408,84,566,5,49988,Personal Auto,Two-Door Car,male,College,Cali,west
2376,91,436,5,0,Personal Auto,Two-Door Car,female,College,Cali,west
3211,86,412,0,16269,Corporate Auto,Two-Door Car,male,Bachelor,Cali,west
5094,64,307,0,72006,Personal Auto,Four-Door Car,female,Bachelor,Arizona,central
25755,81,388,2,0,Personal Auto,Four-Door Car,female,High School or Below,Arizona,central
8672,245,2345,0,0,Corporate Auto,Luxury SUV,male,Bachelor,Oregon,northwest
8044,67,321,0,44320,Personal Auto,Four-Door Car,male,Master,Cali,west
4001,108,773,0,19782,Personal Auto,Two-Door Car,female,High School or Below,Arizona,central
16706,70,424,0,63933,Personal Auto,Two-Door Car,female,Bachelor,Nevada,central
8544,109,523,0,28224,Personal Auto,SUV,male,Doctor,Arizona,central
7805,106,508,1,21073,Personal Auto,SUV,female,College,WA,east
6112,77,364,0,63243,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
4772,133,638,0,20993,Personal Auto,SUV,male,High School or Below,Nevada,central
10979,135,354,0,94827,Personal Auto,SUV,female,Bachelor,Oregon,northwest
5004,63,283,1,39161,Personal Auto,Two-Door Car,female,Master,Cali,west
13223,84,403,2,37534,Personal Auto,Four-Door Car,male,Bachelor,WA,east
2623,65,20,0,80210,Corporate Auto,Four-Door Car,female,Bachelor,Oregon,northwest
17840,62,385,0,0,Personal Auto,Four-Door Car,male,Bachelor,Cali,west
5106,64,140,0,30110,Personal Auto,Four-Door Car,female,College,Cali,west
17930,68,326,0,21708,Personal Auto,Four-Door Car,female,College,Arizona,central
5457,67,321,0,94731,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
6563,83,398,0,32375,Personal Auto,Four-Door Car,male,Bachelor,Cali,west
4812,63,102,0,16531,Corporate Auto,Four-Door Car,male,College,Oregon,northwest
29328,94,56,0,32006,Corporate Auto,Four-Door Car,female,Master,Arizona,central
5773,72,463,0,81676,Personal Auto,Two-Door Car,female,Bachelor,Arizona,central
6847,86,205,0,71038,Corporate Auto,Four-Door Car,male,College,Cali,west
3595,103,741,0,0,Corporate Auto,Sports Car,female,High School or Below,Arizona,central
22855,65,56,0,20832,Personal Auto,Two-Door Car,female,Master,Nevada,central
7859,113,813,0,0,Personal Auto,SUV,male,High School or Below,WA,east
4115,103,494,0,52405,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
5029,133,795,0,0,Personal Auto,Sports Car,female,High School or Below,Arizona,central
4821,1005,614,4,26583,Personal Auto,SUV,female,Bachelor,WA,east
5004,65,72,0,25486,Special Auto,Two-Door Car,male,Master,Oregon,northwest
8630,111,532,0,24065,Corporate Auto,Four-Door Car,male,College,Arizona,central
9322,116,67,0,70435,Personal Auto,Four-Door Car,female,High School or Below,Arizona,central
16727,76,402,2,0,Personal Auto,Two-Door Car,male,College,Cali,west
3652,92,641,0,39679,Personal Auto,Two-Door Car,female,High School or Below,Oregon,northwest
6158,89,342,0,0,Personal Auto,Four-Door Car,male,College,Nevada,central
4376,69,331,4,0,Personal Auto,Two-Door Car,male,Bachelor,Cali,west
5569,71,340,1,53565,Personal Auto,Four-Door Car,male,High School or Below,Nevada,central
2576,66,412,1,37574,Personal Auto,Two-Door Car,male,Bachelor,WA,east
8346,108,73,0,48259,Personal Auto,Two-Door Car,male,Bachelor,WA,east
6323,78,374,0,78532,Personal Auto,Four-Door Car,female,High School or Below,Arizona,central
5973,73,350,0,96163,Corporate Auto,Four-Door Car,female,Bachelor,Arizona,central
4706,72,345,0,0,Personal Auto,Four-Door Car,male,Bachelor,Cali,west
8093,114,722,1,0,Personal Auto,Sports Car,male,High School or Below,Cali,west
5035,63,259,0,72672,Personal Auto,Four-Door Car,male,College,WA,east
9027,112,537,1,99002,Personal Auto,Four-Door Car,female,Bachelor,Oregon,northwest
7288,91,396,0,79494,Personal Auto,Four-Door Car,male,High School or Below,California,west
18042,225,358,0,35704,Personal Auto,Luxury Car,male,Master,Oregon,northwest
4992,71,653,0,0,Corporate Auto,Four-Door Car,female,Bachelor,Arizona,central
9102,118,121,0,26049,Personal Auto,Two-Door Car,female,High School or Below,Oregon,northwest
2540,64,92,0,70125,Special Auto,Four-Door Car,male,Doctor,Arizona,central
12941,110,528,1,52369,Personal Auto,SUV,male,College,California,west
2365,66,159,2,0,Special Auto,Four-Door Car,female,Bachelor,WA,east
5720,72,476,0,41770,Personal Auto,Four-Door Car,male,College,Arizona,central
7035,101,727,0,0,Corporate Auto,Four-Door Car,male,High School or Below,Oregon,northwest
2636,67,321,0,31911,Personal Auto,Four-Door Car,male,College,California,west
5395,68,42,0,70051,Corporate Auto,Four-Door Car,male,Bachelor,Nevada,central
8382,117,561,1,19683,Personal Auto,Sports Car,male,High School or Below,Oregon,northwest
31161,112,200,0,30916,Personal Auto,SUV,female,College,WA,east
2887,80,676,0,0,Personal Auto,Four-Door Car,female,Bachelor,Oregon,northwest
7425,62,76,0,84302,Personal Auto,Four-Door Car,male,College,Washington,east
25585,116,830,0,0,Corporate Auto,SUV,male,Bachelor,California,west
10272,132,580,0,60145,Personal Auto,SUV,male,College,Oregon,northwest
4376,111,60,0,63774,Personal Auto,Four-Door Car,female,Bachelor,Oregon,northwest
5318,67,321,0,25134,Corporate Auto,Four-Door Car,female,Bachelor,California,west
4719,61,47,1,37057,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
4428,110,303,0,58577,Personal Auto,SUV,female,High School or Below,Oregon,northwest
5879,73,100,0,85857,Corporate Auto,Four-Door Car,male,High School or Below,California,west
9416,116,481,0,70602,Personal Auto,SUV,female,Doctor,Oregon,northwest
8288,106,508,2,33816,Corporate Auto,Four-Door Car,female,Master,Oregon,northwest
32654,153,1101,0,0,Personal Auto,SUV,male,Bachelor,Oregon,northwest
4719,121,86,4,89642,Corporate Auto,SUV,female,College,Oregon,northwest
3903,98,470,0,60068,Personal Auto,Two-Door Car,female,Bachelor,California,west
5457,139,667,0,50044,Personal Auto,SUV,female,Bachelor,California,west
2725,69,56,1,36650,Personal Auto,Four-Door Car,female,Master,California,west
4433,110,262,0,50653,Corporate Auto,SUV,female,College,Arizona,central
5332,66,309,0,68931,Personal Auto,Four-Door Car,female,Doctor,Arizona,central
2315,73,350,1,0,Corporate Auto,Four-Door Car,male,Bachelor,Oregon,northwest
5411,73,365,0,0,Personal Auto,Four-Door Car,female,College,California,west
9587,80,384,0,39266,Personal Auto,Four-Door Car,male,Bachelor,California,west
22103,102,489,0,0,Personal Auto,SUV,male,College,California,west
9764,98,705,1,0,Personal Auto,Four-Door Car,female,High School or Below,Nevada,central
2567,65,9,0,40864,Corporate Auto,Four-Door Car,female,Bachelor,Nevada,central
2650,68,244,0,39035,Personal Auto,Four-Door Car,female,College,Oregon,northwest
11264,98,639,0,34923,Personal Auto,Two-Door Car,male,Bachelor,California,west
2168,63,453,0,0,Personal Auto,Four-Door Car,male,High School or Below,California,west
8610,111,532,0,0,Corporate Auto,SUV,female,High School or Below,California,west
2834,71,511,0,24506,Personal Auto,Two-Door Car,female,College,California,west
8930,82,554,0,0,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
5536,70,336,1,52220,Personal Auto,Four-Door Car,female,College,Arizona,central
2840,74,402,0,0,Personal Auto,Two-Door Car,male,High School or Below,Arizona,central
8082,67,327,0,53554,Personal Auto,Four-Door Car,male,College,California,west
5254,67,5,1,34476,Corporate Auto,Four-Door Car,male,Bachelor,California,west
5116,70,131,0,0,Personal Auto,Four-Door Car,female,Bachelor,Arizona,central
3034,76,99,0,68205,Personal Auto,Two-Door Car,male,College,California,west
8024,119,856,1,0,Personal Auto,SUV,female,High School or Below,California,west
18211,154,739,0,53690,Personal Auto,SUV,male,High School or Below,California,west
5121,72,518,0,0,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
2150,61,292,0,0,Personal Auto,Four-Door Car,female,High School or Below,California,west
5595,71,340,0,74454,Personal Auto,Four-Door Car,female,High School or Below,California,west
7562,73,350,0,0,Personal Auto,Four-Door Car,female,Bachelor,Nevada,central
5385,71,340,0,29664,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
2678,66,84,0,72450,Corporate Auto,Four-Door Car,female,Doctor,Washington,east
9422,79,64,3,47272,Personal Auto,Four-Door Car,female,Bachelor,Nevada,central
3605,92,441,0,21585,Corporate Auto,Four-Door Car,female,College,Oregon,northwest
7762,106,37,2,23827,Personal Auto,Four-Door Car,female,College,California,west
23444,74,202,2,69906,Corporate Auto,Four-Door Car,female,College,Arizona,central
2558,72,345,0,0,Corporate Auto,Four-Door Car,female,High School or Below,California,west
